Department,UACS
Congress of the Philippines,01
Office of the President (OP),02
Office of the Vice-President (OVP),03
Department of Agrarian Reform (DAR),04
Department of Agriculture (DA),05
Department of Budget and Management (DBM),06
Department of Education (DepEd),07
State Universities and Colleges (SUCs),08
Department of Energy (DOE),09
Department of Environment and Natural Resources (DENR),10
Department of Finance (DOF),11
Department of Foreign Affairs (DFA),12
Department of Health (DOH),13
Department of the Interior and Local Government (DILG),14
Department of Justice (DOJ),15
Department of Labor and Employment (DOLE),16
Department of National Defense (DND),17
Department of Public Works and Highways (DPWH),18
Department of Science and Technology (DOST),19
Department of Social Welfare and Development (DSWD),20
Department of Tourism (DOT),21
Department of Trade and Industry (DTI),22
Department of Transportation and Communications (DOTC),23
National Economic and Development Authority (NEDA),24
Presidential Communications Operations Office (PCOO),25
Other Executive Offices,26
Autonomous Region In Muslim Mindanao (ARMM),27
Joint Legislative-Executive Councils,28
The Judiciary,29
Civil Service Commission (CSC),30
Commission on Audit (COA),31
Commission on Elections (COMELEC),32
Office of the Ombudsman,33
Commission on Human Rights (CHR),34
Budgetary Support to Government Corporations,35
Financial Assistance to Metropolitan Manila Development Authority,36
