REGION,UACS
Region I – Ilocos,01
Region II – Cagayan Valley,02
Region III – Central Luzon,03
Region IV-A – CALABARZON,04
Region IV-B – MIMAROPA,17
Region V – Bicol,05
Region VI – Western Visayas,06
Region VII – Central Visayas,07
Region VIII – Eastern Visayas,08
Region IX – Zamboanga Peninsula,09
Region X – Northern Mindanao,10
Region XI – Davao,11
Region XII – SOCCSKSARGEN,12
Region XIII – CARAGA,16
National Capital Region (NCR),13
Cordillera Administrative Region (CAR),14
Autonomous Region in Muslim Mindanao (ARMM),15
